,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury ","fatal"
10,120,"SJ","R001.330","D","F","Q","G",2,2,"RO","H"," n/a ","W",1,10/26/1997,1045,926509277," speeding ","clear","day","dry"," normal ","D"," hit obj. ",2," car ","W"," on sr. "," unk ",0,0," wall  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R001.330","D","F","Q","G",2,2,"RO","H"," n/a ","W",1,10/26/1997,1045,926509277," speeding ","clear","day","dry"," normal ","D"," hit obj. ",2," pickup ","W"," on sr. "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","G unk ",,,,
10,120,"SJ","R005.320","D","F","J","Z",2,2,"UI","H"," n/a ","W",3,10/28/1997,2355,926513689," imp. turn ","clear"," dark ","dry"," normal ","D"," hit obj. ",1," semi w/trailer ","W"," on sr. "," unk ",0,0," over embankment  beyond shoulder drivers right "," roll-over beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," inattention  unk "," other ","A unk ",1,1,,
10,120,"SJ","R006.390","D","F","Q","G",2,2,"RO","H"," n/a ","E",3,10/28/1997,1645,926513325," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R006.390","D","F","Q","G",2,2,"RO","H"," n/a ","E",3,10/28/1997,1645,926513325," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","A unk ",,,,
10,120,"SJ","T006.640","D","F","J","E",1,1,"RO","H"," n/a ","W",5,11/13/1997,1435,926513325," oth. viol. ","cloudy","day","dry"," normal ","D"," sideswipe ",2," car ","W"," on sr. "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","T006.640","D","F","J","E",1,1,"RO","H"," n/a ","W",5,11/13/1997,1435,926513325," oth. viol. ","cloudy","day","dry"," normal ","D"," sideswipe ",2," other veh. ","W"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",,,,
10,120,"SJ","R002.610","D","F","J","Z",2,2,"RO","H"," n/a ","W",7,11/15/1997,400,926513193," imp. turn ","clear"," dark ","dry"," normal ","D"," hit obj. ",1," car ","W"," on sr. "," unk ",0,0," dike or curb  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," roll-over beyond shoulder drivers right "," n/a  n/a "," none  unk "," other "," unk I",1,1,,
10,120,"SJ","R005.054","D","F","J","Z",2,2,"UO","R",4,"E",2,11/17/1997,1606,390300877," no yield ","clear","day","dry"," normal ","A"," t-bone ",3," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," left turn ","A unk ",1,1,,
10,120,"SJ","R005.054","D","F","J","Z",2,2,"UO","R",4,"E",2,11/17/1997,1606,390300877," no yield ","clear","day","dry"," normal ","A"," t-bone ",3," semi w/trailer ","N"," not on sr "," unk ",0,0,"V1 right lane ","V3 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R005.054","D","F","J","Z",2,2,"UO","R",4,"E",2,11/17/1997,1606,390300877," no yield ","clear","day","dry"," normal ","A"," t-bone ",3," car ","S"," not on sr "," unk ",0,0," n/a  n/a ","V2 other "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
