,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
10,120,"SJ","R001.500",,,,,,,,"H"," n/a ","E"," thur ",7/30/1992,1735,926509277," not driver ","clear","day","dry"," normal ","D"," rear-end ",4," car ","E"," n/a "," unk ",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",1,1,,
10,120,"SJ","R001.500",,,,,,,,"H"," n/a ","E"," thur ",7/30/1992,1735,926509277," not driver ","clear","day","dry"," normal ","D"," rear-end ",4," car ","E"," n/a "," unk ",0,0," n/a  n/a ","V4 right lane ","V1 right lane "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R001.500",,,,,,,,"H"," n/a ","E"," thur ",7/30/1992,1735,926509277," not driver ","clear","day","dry"," normal ","D"," rear-end ",4," car ","E"," n/a "," unk ",0,0,"V4 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R001.500",,,,,,,,"H"," n/a ","E"," thur ",7/30/1992,1735,926509277," not driver ","clear","day","dry"," normal ","D"," rear-end ",4," pickup ","E"," n/a "," unk ",0,0,"V3 right lane ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","AF",,,,
10,120,"SJ","R001.330",,,,,,,,"H"," n/a ","E"," fri ",7/31/1992,1520,926511335," imp. turn ","clear","day","dry"," normal ","D"," hit object ",1," semi ","E"," n/a "," unk ",0,0," side of bridge  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R006.020",,,,,,,,"H"," n/a ","E"," wed ",8/5/1992,1145,926511055," imp. turn ","clear","day","dry"," normal ","D"," hit object ",2," semi w/1 trailer ","E"," n/a "," unk ",0,0," dike or curb  beyond shoulder drivers right "," guardrail  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R006.020",,,,,,,,"H"," n/a ","E"," wed ",8/5/1992,1145,926511055," imp. turn ","clear","day","dry"," normal ","D"," hit object ",2," car ","E"," n/a "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," other viol.  unk "," straight ","G unk ",,,,
10,120,"SJ","R003.620",,,,,,,,"H"," n/a ","E"," sat ",8/8/1992,1345,926512806," imp. turn ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," merging ","A unk ",1,1,,
10,120,"SJ","R003.620",,,,,,,,"H"," n/a ","E"," sat ",8/8/1992,1345,926512806," imp. turn ","clear","day","dry"," normal ","D"," rear-end ",2," semi w/1 trailer ","E"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R003.120",,,,,,,,"H"," n/a ","W"," sun ",8/16/1992,1815,926512806," oth. viol. ","clear","day","dry"," normal ","D"," rear-end ",2," pickup w/trailer ","W"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," lane change ","A unk ",1,1,,
10,120,"SJ","R003.120",,,,,,,,"H"," n/a ","W"," sun ",8/16/1992,1815,926512806," oth. viol. ","clear","day","dry"," normal ","D"," rear-end ",2," other veh. ","W"," n/a "," unk ",0,0,"V1 right lane "," guardrail  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R002.600",,,,,,,,"H"," n/a ","W"," mon ",8/17/1992,905,926510313," speeding ","clear","day","dry"," normal ","D"," hit object ",1," semi w/1 trailer ","W"," n/a "," unk ",0,0," traffic sign/signpost  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," n/a  n/a "," none  unk "," off road ","A unk ",1,1,,
10,120,"SJ","R006.470",,,,,,,,"H"," n/a ","W"," thur ",8/20/1992,1230,926510999," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," car ","W"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," merging ","A unk ",1,1,,
10,120,"SJ","R006.470",,,,,,,,"H"," n/a ","W"," thur ",8/20/1992,1230,926510999," oth. viol. ","clear","day","dry"," normal ","D"," sideswipe ",2," semi w/1 trailer ","W"," n/a "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk "," straight "," unk ",,,,
10,120,"SJ","R005.110",,,,,,,,"H"," n/a ","W"," sun ",8/23/1992,1705,926504693," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup ","W"," n/a "," unk ",0,1,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","A unk ",1,,1,
